Date,Timestamp,ISO8601,Type,Display Name,Duration (second),Distance (meter),Steps (count),Cadence (spm),Avg. Speed (m/s),Avg. Heart Rate (bpm),Max. Heart Rate (bpm),Active Energy Burned (kcal),Avg. Power (Watt),Max. Power (Watt),Avg. GCT (ms),Max. GCT (ms),Avg. VO (cm),Max. VO (cm),Avg. Stride Length (cm),Max. Stride Length (cm),Since start (second)
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,,Battersea 26 Build W6 Quality,,0,,,,,,,,,,,,,,,0.000
07:42:51.234,1781160171.234,2026-06-11T07:42:51.234+0100,Work,,1390.240,3888,3148,136,2.797,122,136,271,271,327,257,302,10.5,11.4,126.1,144.0,0.000
08:06:01.475,1781161561.475,2026-06-11T08:06:01.475+0100,Work,,174.312,800,514,177,4.590,144,151,56,367,387,235,241,9.5,10.0,154.6,163.0,1390.241
08:08:55.788,1781161735.788,2026-06-11T08:08:55.788+0100,Recovery,,149.636,528,403,162,3.531,139,152,38,289,365,257,285,10.1,10.5,133.8,156.0,1564.553
08:11:25.424,1781161885.424,2026-06-11T08:11:25.424+0100,Work,,177.843,793,526,178,4.463,145,154,56,357,370,232,257,9.5,10.3,151.7,157.0,1714.190
08:14:23.268,1781162063.268,2026-06-11T08:14:23.268+0100,Recovery,,149.201,550,408,164,3.692,143,153,40,308,378,248,267,10.0,10.5,133.7,151.0,1892.033
08:16:52.469,1781162212.469,2026-06-11T08:16:52.469+0100,Work,,173.593,782,517,179,4.510,149,155,55,357,382,223,244,9.1,10.0,151.9,159.0,2041.235
08:19:46.063,1781162386.063,2026-06-11T08:19:46.063+0100,Recovery,,149.578,530,406,163,3.550,143,155,38,289,359,250,270,9.9,10.5,130.1,152.0,2214.828
08:22:15.641,1781162535.641,2026-06-11T08:22:15.641+0100,Work,,172.954,796,523,182,4.604,149,156,56,360,386,223,255,9.0,9.9,151.4,159.0,2364.407
08:25:08.596,1781162708.596,2026-06-11T08:25:08.596+0100,Recovery,,149.759,520,406,163,3.473,143,156,38,278,348,254,276,10.0,10.3,129.3,154.0,2537.362
08:27:38.355,1781162858.355,2026-06-11T08:27:38.355+0100,Work,,178.822,801,533,179,4.480,149,157,57,361,381,223,254,9.0,10.0,151.4,156.0,2687.121
08:30:37.178,1781163037.178,2026-06-11T08:30:37.178+0100,Recovery,,149.595,461,406,163,3.088,143,156,37,262,354,263,282,10.0,10.7,106.7,153.0,2865.943
08:33:06.773,1781163186.773,2026-06-11T08:33:06.773+0100,Work,,175.799,801,529,181,4.561,149,157,57,371,437,221,262,9.0,9.6,152.3,171.0,3015.539
08:36:02.572,1781163362.572,2026-06-11T08:36:02.572+0100,Recovery,,149.403,540,408,164,3.618,146,156,38,289,353,247,262,9.8,10.3,131.2,147.0,3191.338
08:38:31.975,1781163511.975,2026-06-11T08:38:31.975+0100,Work,,183.443,800,550,180,4.366,150,155,57,351,380,221,250,9.1,9.9,147.3,157.0,3340.741
08:41:35.419,1781163695.419,2026-06-11T08:41:35.419+0100,Recovery,,149.727,512,406,163,3.421,145,156,37,280,353,254,282,9.8,10.3,127.2,147.0,3524.184
08:44:05.146,1781163845.146,2026-06-11T08:44:05.146+0100,Work,,183.332,802,550,180,4.379,151,157,57,357,390,220,259,9.1,9.9,146.7,162.0,3673.912
08:47:08.478,1781164028.478,2026-06-11T08:47:08.478+0100,Recovery,,149.038,514,416,168,3.449,145,162,39,285,352,250,297,9.8,10.5,130.3,148.0,3857.244
08:49:37.517,1781164177.517,2026-06-11T08:49:37.517+0100,Work,,377.110,1331,1042,166,3.532,135,136,93,291,302,252,270,9.8,10.3,129.0,134.0,4006.283
08:55:54.627,1781164554.627,2026-06-11T08:55:54.627+0100,,,4383.393,15759,11697,160,3.595,138,162,1120,307,437,244,302,9.8,11.4,135.5,171.0,4383.393
